Filial;Pagador;Remetente;Origem;UF Origem;Destinatario;Destino;UF Destino;Endereco entrega;Bairro;CEP;Expedidor;Recebedor;Data frete;Prazo entrega;Tipo;Documento;Chave CT-e;Nº CT-e;Série;Emissão CT-e;Emissão NFS-e;NF;Qtd NF;Nº Pedidos;Nº Cotacao;Nº Coleta;CT-e 3º;Transportadora;AWB;Cia Aérea;Volumes;Kg Taxado;Kg Real;M3;Valor NF;Valor Frete;Valor Total do Serviço;Valor/Kg;% Frete/NF;Base Cálculo;% ICMS;Valor ICMS;% ICMS Antecipado;Valor ICMS Antecipado;Tabela de Preço;Classificação;Centro de Custo;Usuário
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;TAUSTE SUPERMERCADOS LTDA;Bauru;SP;R RIO BRANCO, 2040;VILA AMERICA;"=""17014037""";;;03/11/2025 14:45;07/11/2025 23:59;Frete normal;1316/262548;"=""35251160960473000243570040000013161218728602""";"=""1316""";"=""4""";03/11/2025;;"=""434564""";"=""1""";;;"=""71055""";;;;;21;357,00;357,00;0,55;16.067,00;455,38;455,38;1,28;2,83;455,38;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;DUTRA MAQUINAS;São Paulo;SP;AV MARIO HABERFELD, 555;PARQUE NOVO MUNDO;"=""02145900""";;;03/11/2025 14:49;05/11/2025 23:59;Frete normal;1317/262549;"=""35251160960473000243570040000013171226788969""";"=""1317""";"=""4""";03/11/2025;;"=""435164""";"=""1""";CDCNNZ;;"=""71055""";;;;;310;5.158,70;280,00;20,63;87.932,92;2.712,25;2.712,25;0,53;3,08;2.712,25;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;PRT CONSTRUTORA E INCORPORADORA LTDA.;São Paulo;SP;Avenida Vila Ema, 1568;Vila Ema;"=""03282000""";;;03/11/2025 14:53;05/11/2025 23:59;Frete normal;1318/262551;"=""35251160960473000243570040000013181726036700""";"=""1318""";"=""4""";03/11/2025;;"=""434829""";"=""1""";;;"=""71055""";;;;;6;659,55;264,00;2,64;16.060,89;451,44;451,44;0,68;2,81;451,44;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;SERRA AZUL WATER PARK S/A;Itupeva;SP;AVENIDA SERRA AZUL, 1000;SERRA AZUL;"=""13299602""";;;03/11/2025 14:55;07/11/2025 23:59;Frete normal;1319/262552;"=""35251160960473000243570040000013191590575725""";"=""1319""";"=""4""";03/11/2025;;"=""434549""";"=""1""";;;"=""71055""";;;;;6;738,89;288,00;2,96;18.373,66;513,54;513,54;0,70;2,79;513,54;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;TUDU STORE LTDA;São Caetano do Sul;SP;R PARAIBA, 319;CENTRO;"=""09521070""";;;03/11/2025 14:56;05/11/2025 23:59;Frete normal;1320/262553;"=""35251160960473000243570040000013201701951135""";"=""1320""";"=""4""";03/11/2025;;"=""435109""";"=""1""";;;"=""71055""";;;;;50;463,12;386,50;1,85;51.515,42;526,23;526,23;1,14;1,02;526,23;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
CWB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;DANIL SOLUCOES;DANIL SOLUCOES;Curitiba;PR;MANZANO;São Paulo;SP;R ANDRE DE ALMEIDA, 2091;CIDADE SAO MATEUS;"=""03966005""";;;03/11/2025 15:01;05/11/2025 23:59;Frete normal;39604/262558;"=""41251160960473000677570030000396041108057317""";"=""39604""";"=""3""";03/11/2025;;"=""5851""";"=""1""";;"=""81920""";"=""70909""";;;;;1;8,60;8,60;0,01;899,54;57,95;57,95;6,74;6,44;51,45;12,00;6,17;0,00;0,00;DANIL SOLUCOES;FRACIONADO - LTL;;Michele Silva - Administrativo (CWB)
RJR - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;POCOS TROMBETA LTDA;FECHOMETALS;Rio de Janeiro;RJ;POCOS TROMBETA LTDA;Avaré;SP;AVENIDA PINHEIRO MACHADO, 673;PINHEIRO MACHADO;"=""18705370""";FECHOMETALS;POCOS TROMBETA LTDA;03/11/2025 15:03;11/11/2025 23:59;Frete normal;1688/262557;"=""33251160960473001304570030000016881566986031""";"=""1688""";"=""3""";03/11/2025;;"=""7423""";"=""1""";EMAIL 29/10/25;;"=""70920""";;;;;4;54,87;54,87;0,07;1.182,00;175,43;175,43;3,20;14,84;175,43;12,00;21,05;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Bruno Borges - Administrativo (RJR)
CAS - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CAS - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CAS - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Castro;PR;BIOFRAGANE;Castro;PR;RUA GUILHERME WIECHETECK, 1019, 0;DISTRITO INDUSTRIAL;"=""84043752""";;;03/11/2025 15:05;04/11/2025 23:59;Frete normal;"=""262559""";;;;;;"=""66212""";"=""1""";;;;;;;;2;20,00;20,00;0,00;2.283,48;0,01;0,01;0,00;0,00;0,01;0,00;0,00;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Ana Izidoro - SAC (CAS)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;P M DA SILVA IMP. E EXP.;Guarulhos;SP;R MONICA APARECIDA MOREDO, 333;JARDIM FATIMA;"=""07177220""";;TEMPO REAL TRANSPORTES & LOGISTICA;03/11/2025 15:06;05/11/2025 23:59;Frete normal;1321/262554;"=""35251160960473000243570040000013211622564608""";"=""1321""";"=""4""";03/11/2025;;"=""434387""";"=""1""";"=""228027""";;"=""71055""";;;;;8;588,58;201,12;2,35;7.200,00;379,54;379,54;0,64;5,27;379,54;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;54.844.298 LUIZ TADEU ALVES FONSECA;Jaboatão dos Guararapes;PE;AV BERNARDO VIEIRA DE MELO, 3310;PIEDADE;"=""54410010""";;;03/11/2025 15:07;18/11/2025 23:59;Frete normal;1322/262555;"=""35251160960473000243570040000013221558680808""";"=""1322""";"=""4""";03/11/2025;;"=""434550""";"=""1""";;;"=""71055""";;;;;1;118,90;48,00;0,48;3.385,47;270,64;270,64;2,28;7,99;270,64;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MTZ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Campinas;SP;MTZ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Agudos;SP;Rua Pedro Carmine Deo, D 156;Distrito Industrial I;"=""17123210""";;;03/11/2025 15:08;05/11/2025 23:59;Frete normal;"=""262561""";;;;;;"=""031125""";"=""1""";;;;;;;;1;5,00;5,00;0,00;0,01;0,01;0,01;0,00;100,00;0,01;12,00;0,00;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Marcio Rangel - Expedição (CPQ)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;VITOR REFRIGERACAO LTDA;Estância Velha;RS;R EUCLIDES DA CUNHA, 321;FLORESTA;"=""93600690""";;;03/11/2025 15:09;10/11/2025 23:59;Frete normal;1323/262556;"=""35251160960473000243570040000013231201557952""";"=""1323""";"=""4""";03/11/2025;;"=""434824""";"=""1""";;;"=""71055""";;;;;1;63,20;29,00;0,25;389,90;170,19;170,19;2,69;43,65;170,19;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
CPQ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;PPG SUM;Sumaré;SP;TOKO TINTAS COMERCIO DE TINTAS LTDA;São Paulo;SP;RUA PRAIA COVANCA, 114;JARDIM LUCINDA;"=""08041190""";;GB LOGISTICA E TRANSPORTE;03/11/2025 15:11;04/11/2025 23:59;Frete normal;31281/262562;"=""35251160960473000758570030000312811651972540""";"=""31281""";"=""3""";03/11/2025;;"=""398915""";"=""1""";;;"=""71122""";;;;;40;318,56;318,56;0,00;11.184,07;185,22;185,22;0,58;1,66;185,22;12,00;22,23;0,00;0,00;PPG - FRACIONADA;FRACIONADO - LTL;;Marcio Rangel - Expedição (CPQ)
CWB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MTZ - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CWB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;São José dos Pinhais;PR;CAS - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;Castro;PR;AVENIDA PREFEITO RONIE CARDOSO, 2055;JARDIM DAS ARAUCARIAS;"=""84174105""";;;03/11/2025 15:11;05/11/2025 23:59;Frete normal;"=""262563""";;;;;;"=""03112025""";"=""1""";;;"=""71223""";;;;;1;3,00;3,00;0,00;1,00;0,01;0,01;0,00;1,00;0,01;12,00;0,00;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Katia Souza - Expedição (CWB)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | EXTREMA | 0052-69;FRIGELAR | EXTREMA | 0052-69;Extrema;MG;SOLCERA DO BRASIL MATERIAIS AVANCADOS LTDA.;Vinhedo;SP;R ANTONIO MATHEUS SOBRINHO JARDIM SAO MATHEUS, 150;SANTA CLAUDINA;"=""13284406""";;;03/11/2025 15:12;06/11/2025 23:59;Frete normal;1325/262560;"=""35251160960473000243570040000013251081057235""";"=""1325""";"=""4""";03/11/2025;;434736, 434737;"=""2""";;;"=""71055""";;;;;2;142,20;45,18;0,57;2.563,26;151,07;151,07;1,06;5,89;151,07;0,00;0,00;0,00;0,00;FRIGELAR - EXTREMA-MG;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
NHB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | NAVEGANTES | 0049-63;FRIGELAR | NAVEGANTES | 0049-63;Navegantes;SC;ZEHAN GESTAO E INOVACAO EM EDUCACAO LTDA;Nova Iguaçu;RJ;AV NILO PECANHA, 545;CENTRO;"=""26210011""";;;03/11/2025 15:14;10/11/2025 23:59;Frete normal;2076/262591;"=""43251160960473001568570040000020761571156372""";"=""2076""";"=""4""";03/11/2025;;"=""731589""";"=""1""";;;"=""70817""";;;;;1;22,43;22,43;0,02;1.858,65;158,94;158,94;7,09;8,55;158,94;12,00;19,07;0,00;0,00;FRIGELAR - SC;FRACIONADO - LTL;;Katia Souza - Expedição (CWB)
NHB - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;FRIGELAR | CURITIBA | 0003-80;FRIGELAR | CACHOEIRINHA | 0014-33;Cachoeirinha;RS;FRIGELAR | CURITIBA | 0003-80;Curitiba;PR;Rua Rockefeller, 805;Reboucas;"=""80230130""";;;03/11/2025 15:19;07/11/2025 23:59;Frete normal;3029/262566;"=""43251160960473001568570030000030291622386076""";"=""3029""";"=""3""";03/11/2025;;994268, 994358, 994375, 994482, 994483, 994484, 994490, 994493, 994496, 994497, 994499, 994501, 994502, 994503, 994504, 994505, 994506, 994507, 994508, 994509, 994510, 994511, 994512, 994513, 994515, 994517, 994518, 994519, 994520, 994521, 994522, 994524, 994526, 994527, 994530, 994533, 994535, 994536, 994537, 994542, 994543, 994544, 994553, 994554, 994563, 994567, 994569, 994570, 994572;"=""49""";;;"=""71190""";;;;;424;10.487,50;3.338,73;41,95;168.175,60;5.600,86;5.600,86;0,53;3,33;5.600,86;12,00;672,10;0,00;0,00;FRIGELAR;DEDICADO/FRACIONADO - PTL ;;Ednei - Gerente (NHB)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CENTRAL DO FRETE;C 10 AUTO PECAS;São Paulo;SP;Marcos Antonio Matos;Telêmaco Borba;PR;Avenida Euclides Bonifácio Londres, 1180;Nossa Senhora de Fátima;"=""84264010""";;;03/11/2025 15:24;06/11/2025 23:59;Frete normal;83705/262567;"=""35251160960473000243570030000837051898714191""";"=""83705""";"=""3""";03/11/2025;;"=""3852""";"=""1""";;;"=""70533""";;;;;1;25,20;12,00;0,08;1.100,00;106,58;106,58;4,23;9,69;106,58;12,00;12,79;0,00;0,00;CENTRAL DO FRETE;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
CAS - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;CASTROLANDA;CASTROLANDA;Castro;PR;CARREFOUR COMERCIO E INDUSTRIA LTDA;Osasco;SP;AV. DR. MAURO LINDEMBERG MONTEIRO, 628;SANTA FE;"=""06278010""";;;03/11/2025 15:31;05/11/2025 23:59;Frete normal;57401/262568;"=""41251160960473000596570030000574011163918844""";"=""57401""";"=""3""";03/11/2025;;862, 863, 864;"=""3""";167420717369, 167420717370, 1236575;;"=""71229""";;;;;900;2.384,40;2.384,40;0,00;85.363,26;5.830,00;5.830,00;2,45;6,83;5.830,00;12,00;699,60;0,00;0,00;;FECHADO - FTL;;Eduardo Nascimento - Expedição (CAS)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;ICEFRESH ;JUNDIAI- VIDARA DO BRASIL;Jundiaí;SP;ICEFRESH ;Bauru;SP;AVENIDA JOSE FORTUNATO MOLINA, 3-120;DISTRITO INDUSTRIAL 1;"=""17034310""";;;03/11/2025 15:31;05/11/2025 23:59;Frete normal;83706/262569;"=""35251160960473000243570030000837061577007471""";"=""83706""";"=""3""";03/11/2025;;"=""95373""";"=""1""";;"=""81958""";"=""70289""";;;;;264;4.437,20;4.437,20;0,00;65.027,22;3.877,49;3.877,49;0,87;5,96;3.877,49;12,00;465,30;0,00;0,00;ICEFRESH;FRACIONADO - LTL;;Rodolfo Silva - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;WEIGTH TECH COMERCIO E SERVICOS ELETRONICOS;CAF MAQUINAS INDUSTRIA LTDA;Osasco;SP;WEIGTH TECH COMERCIO E SERVICOS ELETRONICOS;Rio de Janeiro;RJ;Caminho do Mateus, 346;Inhauma;"=""20760530""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 15:39;05/11/2025 23:59;Frete normal;83707/262570;"=""35251160960473000243570030000837071133174780""";"=""83707""";"=""3""";03/11/2025;;"=""140053""";"=""1""";;"=""81973""";;;;;;2;27,42;23,00;0,09;2.224,58;140,41;140,41;5,12;6,31;140,41;12,00;16,85;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;COMERCIAL LUCOL LTDA;PROTONS DO BRASIL, INDUSTRIA, COMERCIO E IMPORTACAO DE PRODUTOS QUIMICOS LTDA;Osasco;SP;COMERCIAL LUCOL LTDA;Castro;PR;ROD RODOVIA PR 151, KM 291, 000;BOM SUCESSO;"=""84165700""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 15:43;05/11/2025 23:59;Frete normal;83708/262571;"=""35251160960473000243570030000837081149563010""";"=""83708""";"=""3""";03/11/2025;;"=""13219""";"=""1""";702.11;"=""79900""";;;;;;4;114,20;114,20;0,14;702,11;85,00;85,00;0,74;12,11;85,00;12,00;10,20;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
AGU - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;GRUPO OPS - ESTRUTURAS METALICAS;GRUPO OPS - ESTRUTURAS METALICAS;Agudos;SP;SFG GALVANIZAÇÃO EIRELI;Osasco;SP;RUA JOÃO RANIERI, 1159;JARDIM FATIMA;"=""07177120""";AGU - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 15:43;05/11/2025 23:59;Frete normal;33794/262572;"=""35251160960473001134570030000337941766095138""";"=""33794""";"=""3""";03/11/2025;;"=""274""";"=""1""";;"=""82158""";;;;;;5;611,46;250,00;2,04;825,00;316,61;316,61;0,52;38,38;316,61;12,00;37,99;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Allan Doca - Expedição (AGU)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;KEMIRA - TELEMACO BORBA;INNOVARTH COMERCIO DE PRODUTOS QUIMICOS LTDA.;Osasco;SP;TREMEMBE INDUSTRIAS QUIMICAS LTDA.;Taubaté;SP;AV. ARCENIO RIEMMA, 1000;DIST. INDL. UNA;"=""12072250""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 15:45;06/11/2025 23:59;Frete normal;83709/262573;"=""35251160960473000243570030000837091087564422""";"=""83709""";"=""3""";03/11/2025;;"=""33047""";"=""1""";;;;;;;;4;1.547,48;784,08;5,16;23.536,80;848,82;848,82;0,55;3,61;848,82;12,00;101,86;0,00;0,00;KEMIRA - FRACIONADA;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;SANDRO LUIS ZWAN - CRIATIVA FLORICULTURA E JARDINAGEM;REI DO ARMARINHO;São Paulo;SP;SANDRO LUIS ZWAN - CRIATIVA FLORICULTURA E JARDINAGEM;Piraí do Sul;PR;R PAULO ABRAO, 420;CENTRO;"=""84240000""";;;03/11/2025 15:48;07/11/2025 23:59;Frete normal;83710/262574;"=""35251160960473000243570030000837101526465319""";"=""83710""";"=""3""";03/11/2025;;"=""1457974""";"=""1""";;"=""82321""";"=""70887""";;;;;5;161,02;17,40;0,54;3.174,70;185,32;185,32;1,15;5,84;185,32;12,00;22,24;0,00;0,00;PADRÃO;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;MAKITA DO BRASIL FERRAMENTAS ELETRICAS L;THREE BOND BRASIL;Diadema;SP;MAKITA DO BRASIL FERRAMENTAS ELETRICAS L;Ponta Grossa;PR;RODOVIA BR 376 KM 506 S/N, SN;INDUSTRIAL;"=""84043450""";;MAKITA DO BRASIL FERRAMENTAS ELETRICAS L;03/11/2025 15:53;05/11/2025 23:59;Frete normal;83711/262576;"=""35251160960473000243570030000837111947566925""";"=""83711""";"=""3""";03/11/2025;;167400, 167489;"=""2""";P0923, P0722;;"=""70863""";;;;;18;464,20;365,00;2,32;142.435,62;657,47;657,47;1,42;0,46;657,47;12,00;78,90;0,00;0,00;MAKITA;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
AGU - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;VCI BRASIL ;VCI BRASIL ;Bauru;SP;GERDAU ACOMINAS S/A;Guarulhos;SP;AV BAQUIRIVU, 20;CIDADE INDUSTRIAL SATELITE DE SAO PAULO;"=""07224180""";;AUTOLOG SOLUCOES LOGISTICAS INTEGRADA LTDA;03/11/2025 15:53;05/11/2025 23:59;Frete normal;33797/262577;"=""35251160960473001134570030000337971736484880""";"=""33797""";"=""3""";03/11/2025;;"=""72052""";"=""1""";"=""4522697215""";;"=""71129""";;;;;9;5.866,00;5.866,00;0,00;229.458,36;2.687,09;2.687,09;0,46;1,17;2.687,09;12,00;322,45;0,00;0,00;VCI BRASIL;FECHADO - FTL;;Allan Doca - Expedição (AGU)
AGU - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;VCI BRASIL ;VCI BRASIL ;Bauru;SP;USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS;Guarulhos;SP;AV BAQUIRIVU, 20;CIDADE INDUSTRIAL SATELITE DE SAO PAULO;"=""07224180""";;AUTOLOG SOLUCOES LOGISTICAS INTEGRADA LTDA;03/11/2025 15:54;05/11/2025 23:59;Frete normal;33798/262579;"=""35251160960473001134570030000337981008186769""";"=""33798""";"=""3""";03/11/2025;;"=""72058""";"=""1""";"=""4503196313""";;"=""71129""";;;;;1;27,00;27,00;0,00;5.617,35;12,36;12,36;0,46;0,22;12,36;12,00;1,48;0,00;0,00;VCI BRASIL;FECHADO - FTL;;Allan Doca - Expedição (AGU)
AGU - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;VCI BRASIL ;VCI BRASIL ;Bauru;SP;COMPANHIA SIDERURGICA NACIONAL;Guarulhos;SP;AVENIDA NOVO BRASIL, 455;CIDADE INDUSTRIAL SATELITE DE SAO PAULO;"=""07221010""";;SL TRANSPORTES;03/11/2025 15:55;05/11/2025 23:59;Frete normal;33799/262580;"=""35251160960473001134570030000337991130001066""";"=""33799""";"=""3""";03/11/2025;;72014, 72054;"=""2""";4504341682, 4504356720;;"=""71129""";;;;;14;5.761,40;5.761,40;0,00;145.443,99;2.639,18;2.639,18;0,46;1,81;2.639,18;12,00;316,70;0,00;0,00;VCI BRASIL;FECHADO - FTL;;Allan Doca - Expedição (AGU)
AGU - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;VCI BRASIL ;VCI BRASIL ;Bauru;SP;COMPANHIA SIDERURGICA NACIONAL;Guarulhos;SP;AVENIDA NOVO BRASIL, 455;CIDADE INDUSTRIAL SATELITE DE SAO PAULO;"=""07221010""";;SL TRANSPORTES;03/11/2025 15:56;05/11/2025 23:59;Frete normal;33800/262581;"=""35251160960473001134570030000338001108402358""";"=""33800""";"=""3""";03/11/2025;;72053, 72055;"=""2""";"=""4504356721""";;"=""71129""";;;;;2;24,80;24,80;0,00;27.650,70;11,36;11,36;0,46;0,04;11,36;12,00;1,36;0,00;0,00;VCI BRASIL;FECHADO - FTL;;Allan Doca - Expedição (AGU)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;AP WINNER ;BISNAGO INDUSTRIA DE EMBALAGENS LTDA;Osasco;SP;AP WINNER ;Ponta Grossa;PR;Rua Jumbo, 86;Cara-cara;"=""84043300""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 15:56;05/11/2025 23:59;Frete normal;83712/262583;"=""35251160960473000243570030000837121827289727""";"=""83712""";"=""3""";03/11/2025;;24298, 24299, 24300, 24301, 24302, 24303;"=""6""";080402, 080702, 0003, 0002, 081511;;;;;;;15;7.290,00;2.150,00;24,30;179.398,85;4.782,09;4.782,09;0,66;2,67;4.782,09;12,00;573,85;0,00;0,00;AP WINNER;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;ARAUCO - JAGUARIAÍVA;FESTO BRASIL LTDA;Osasco;SP;ARAUCO - JAGUARIAÍVA;Jaguariaíva;PR;KM. 228,5 DA PR 092, SN;JAGUARIAIVA;"=""84200000""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 16:04;07/11/2025 23:59;Frete normal;83713/262585;"=""35251160960473000243570030000837131096364808""";"=""83713""";"=""3""";03/11/2025;;2661128, 2661274;"=""2""";4507188152, 4507163451;;;;;;;2;17,38;17,38;0,06;14.378,35;164,11;164,11;9,44;1,14;164,11;12,00;19,69;0,00;0,00;ARAUCO DO BRASIL;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;HB FULLER CWB;DOW;Osasco;SP;HB FULLER CWB;Curitiba;PR;RUA VICENTE MICHELOTTO, 3707;CIDADE INDUSTRIAL;"=""81460010""";SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;;03/11/2025 16:06;05/11/2025 23:59;Frete normal;83714/262586;"=""35251160960473000243570030000837141883299915""";"=""83714""";"=""3""";03/11/2025;;"=""387868""";"=""1""";;;;;;;;48;10.936,80;10.936,80;14,40;238.608,50;4.572,94;4.572,94;0,42;1,92;4.572,94;12,00;548,75;0,00;0,00;HB FULLER CWB - TRUCK;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
SPO - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;PPG SUM;COATING INDUSTRIA E COMERCIO LTDA;São Bernardo do Campo;SP;PPG SUM;Sumaré;SP;ROD ANHANGUERA, S/NR;JARDIM SAO JUDAS TADEU;"=""13180900""";;;03/11/2025 16:09;04/11/2025 23:59;Frete normal;83715/262587;"=""35251160960473000243570030000837151705428651""";"=""83715""";"=""3""";03/11/2025;;"=""110130""";"=""1""";;;"=""70942""";;;;;2;828,00;116,00;2,76;2.000,00;379,63;379,63;0,46;18,98;379,63;12,00;45,56;0,00;0,00;PPG - FRACIONADA;FRACIONADO - LTL;;Anderson Martins - Expedição (SPO)
CAS - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;TIGRE | CASTRO | 0002-50;TIGRE | CASTRO | 0002-50;Castro;PR;CAS - RODOGARCIA TRANSPORTES RODOVIARIOS LTDA;São José dos Pinhais;PR;Rua João Zarpelon, 450;Costeira;"=""83015210""";;AZURELOG TRANSPORTES LTDA;03/11/2025 16:09;05/11/2025 23:59;Frete normal;57404/262594;"=""41251160960473000596570030000574041669011493""";"=""57404""";"=""3""";03/11/2025;;214806, 214814, 214829, 214840, 214848, 214871, 214874, 214878, 214882, 214885, 214892, 214893, 214896, 214898, 214899, 214917, 214923, 214926, 214927, 214929, 214930, 214931, 214935, 214938, 214939, 214942, 214946, 214949, 214953, 214954, 214955, 214958, 214983, 214985, 214991, 214994, 214996, 214999, 215005, 215006, 215007, 215011, 215012, 215017, 215020, 215022, 215025, 215026, 215031, 215034, 215036, 215039, 215040, 215041, 215058, 215060, 215061, 215064, 215069, 215070, 215072, 215076, 215078, 215079, 215087, 215100, 215102, 215105, 215107, 215111, 215117, 215121, 215122, 215123, 215128, 215129, 215130, 215131, 215132;"=""79""";;;"=""71237""";;;;;1140;10.286,52;10.286,52;21,81;238.370,99;1.779,00;1.779,00;0,17;0,75;1.728,75;0,00;0,00;0,00;0,00;TIGRE - REDESPACHO PR - CARRETA ATÉ 02 ENTREGAS;FECHADO - FTL;;Dionatan Danilau Ramos - Operação Tigre (CAS)
